EMPRESA;COD MOVIL;TIPO MOVIL;EVENTO;FALLA REPORTADA;DESCRIPCION CAUSA;ESTADO;INICIO EVENTO;LLEGADA EVENTO;ASIGNADA;ACEPTADA;EN RUTA;ARRIBO;LIBERADA;REPROMESA;PROMESA(min);REPROMESA(min);T.ASIGNACION(min);T.ARRIBO(min);CUMPL.PROMESA;CUMPL.LEGAL;CUMPL.TIEMPO
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1821486;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 8:27;20-09-2014 9:01;20-09-2014 8:31;20-09-2014 8:31;20-09-2014 8:35;20-09-2014 9:01;20-09-2014 9:37;;120;;4;33;Si;Si;No
ELS;V5566;DOMICILIARIA EMERGENCIA;B1821487;5D0289 - Domicilio sin Corriente;;Anulado;20-09-2014 8:40;;20-09-2014 8:44;20-09-2014 8:46;20-09-2014 8:48;;20-09-2014 8:52;;120;;4;; ; ; 
CAM;V4040;DOMICILIARIA EMERGENCIA;B1821488;3S0389 - Sector sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 8:56;20-09-2014 9:23;20-09-2014 8:59;20-09-2014 9:01;20-09-2014 9:01;20-09-2014 9:23;20-09-2014 9:50;;120;;3;27;Si;Si;No
ELS s.a.;V5560;DOMICILIARIA EMERGENCIA;B1821489;3S0389 - Sector sin Corriente;Falla de material;Cerrado;20-09-2014 9:01;20-09-2014 9:41;20-09-2014 9:06;20-09-2014 9:06;20-09-2014 9:09;20-09-2014 9:41;20-09-2014 10:44;;120;;5;39;Si;Si;No
ELS s.a.;V5560;DOMICILIARIA EMERGENCIA;B1821490;5D0231 -  Medidores y/o Domicilios electrizados;Incendios;Cerrado;20-09-2014 9:06;20-09-2014 10:30;20-09-2014 9:10;20-09-2014 9:10;20-09-2014 10:35;20-09-2014 10:35;20-09-2014 10:41;;45;;4;83;No;Si;No
ELS SA;V5536;SERVICIO DE EMERGENCIA RED;B1821491;3S0389 - Sector sin Corriente;Vehiculo >4.50 m. de altura bota empalme;Cerrado;20-09-2014 9:11;20-09-2014 9:43;20-09-2014 9:16;20-09-2014 9:17;20-09-2014 9:23;20-09-2014 9:43;20-09-2014 9:56;;120;;5;31;Si;Si;No
;V3649;SERVICIO DE EMERGENCIA RED;B1821492;5D0289 - Domicilio sin Corriente;Caida de gancho o rama;Cerrado;20-09-2014 9:14;20-09-2014 9:50;20-09-2014 9:18;;;;20-09-2014 10:33;;120;;3;3;Si;Si;No
LEONOR SOTO LTDA.;V3618;DOMICILIARIA EMERGENCIA;B1821493;5A0117 - Acometidas en Corto Circuito / medidor e;Corrosion;Cerrado;20-09-2014 9:13;20-09-2014 9:40;20-09-2014 9:17;20-09-2014 9:17;;;20-09-2014 11:01;;100;;3;3;Si;Si;No
Empresa Azeta;V3621;DOMICILIARIA EMERGENCIA;B1821494;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 9:19;20-09-2014 9:35;20-09-2014 9:22;20-09-2014 9:23;20-09-2014 9:23;20-09-2014 9:38;20-09-2014 10:29;;120;;2;15;Si;Si;No
LEONOR SOTO LTDA.;V5565;DOMICILIARIA EMERGENCIA;B1821495;5D0236 - Domicilio Exceso / Bajo Voltaje;Envejecimiento de materiales;Cerrado;20-09-2014 9:29;20-09-2014 9:48;20-09-2014 9:32;20-09-2014 9:32;20-09-2014 9:36;20-09-2014 9:48;20-09-2014 10:55;;120;;3;18;Si;Si;No
ELS;V3624;SERVICIO DE EMERGENCIA RED;B1821496;5D0289 - Domicilio sin Corriente;Origen no determinado;Cerrado;20-09-2014 9:30;20-09-2014 10:07;20-09-2014 9:34;20-09-2014 9:57;20-09-2014 10:04;20-09-2014 10:07;20-09-2014 10:28;;120;;4;36;Si;Si;No
LEONOR SOTO LTDA.;V3607;SERVICIO DE EMERGENCIA RED;B1821497;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 9:31;20-09-2014 10:15;20-09-2014 9:34;20-09-2014 9:36;20-09-2014 9:43;20-09-2014 10:16;20-09-2014 10:54;;120;;3;43;Si;Si;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1821498;5A0117 - Acometidas en Corto Circuito / medidor e;Envejecimiento de materiales;Cerrado;20-09-2014 9:35;20-09-2014 10:37;20-09-2014 9:39;20-09-2014 9:42;20-09-2014 9:45;20-09-2014 10:37;20-09-2014 10:57;;100;;4;61;Si;Si;No
ELS;V5566;DOMICILIARIA EMERGENCIA;B1821499;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 9:41;20-09-2014 9:56;20-09-2014 9:45;20-09-2014 9:45;20-09-2014 9:47;20-09-2014 9:56;20-09-2014 10:15;;120;;3;14;Si;Si;No
E. E. Colina;C0001;SERVICIO DE EMERGENCIA RED;B1821500; - ;Otros mantenimiento;Cerrado;20-09-2014 9:50;20-09-2014 10:45;20-09-2014 9:54;;;;20-09-2014 11:42;;;;4;4;No;Si;No
LEONOR SOTO LTDA.;V3600;SERVICIO DE EMERGENCIA RED;B1821501;5D0236 - Domicilio Exceso / Bajo Voltaje;Otros instalacion de cliente;Cerrado;20-09-2014 9:55;20-09-2014 10:30;20-09-2014 9:58;20-09-2014 9:58;20-09-2014 10:34;20-09-2014 10:35;20-09-2014 10:46;;120;;3;34;Si;Si;No
LEONOR SOTO;V5533;SERVICIO DE EMERGENCIA RED;B1821502;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 10:10;20-09-2014 10:25;20-09-2014 10:13;20-09-2014 10:15;20-09-2014 10:22;20-09-2014 10:25;20-09-2014 10:54;;120;;3;14;Si;Si;No
CAM;V4041;DOMICILIARIA EMERGENCIA;B1821503;5A0117 - Acometidas en Corto Circuito / medidor e;Mantenimiento preventivo;Cerrado;20-09-2014 10:16;20-09-2014 10:57;20-09-2014 10:18;20-09-2014 10:37;20-09-2014 10:43;20-09-2014 10:57;20-09-2014 11:41;;100;;2;40;Si;Si;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1821504;5I0189 - Industria o Edificio sin Corriente;Envejecimiento de materiales;Cerrado;20-09-2014 10:13;20-09-2014 10:32;20-09-2014 10:17;20-09-2014 10:18;20-09-2014 10:21;20-09-2014 10:32;20-09-2014 11:17;;120;;4;18;Si;Si;No
ELS SA;V5536;SERVICIO DE EMERGENCIA RED;B1821505;3P1611 - Postes Chocados;Choque de vehiculo a poste;Cerrado;20-09-2014 10:25;20-09-2014 11:31;20-09-2014 10:30;20-09-2014 10:32;20-09-2014 10:51;20-09-2014 11:31;20-09-2014 11:48;;45;;5;65;No;Si;No
CAM;V4040;DOMICILIARIA EMERGENCIA;B1821506;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 10:29;20-09-2014 11:14;20-09-2014 10:38;20-09-2014 10:41;20-09-2014 11:13;20-09-2014 11:14;20-09-2014 12:03;;120;;9;45;Si;Si;No
ELS SA;V3616;DOMICILIARIA EMERGENCIA;B1821507;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 10:31;20-09-2014 11:12;20-09-2014 10:37;20-09-2014 10:38;20-09-2014 10:38;20-09-2014 11:12;20-09-2014 12:25;;120;;6;40;Si;Si;No
CAM;V4608;DOMICILIARIA EMERGENCIA;B1821508;5D0249 - Domicilio  intermitente ;Otros instalacion de cliente;Cerrado;20-09-2014 10:31;20-09-2014 11:20;20-09-2014 10:35;20-09-2014 10:36;20-09-2014 10:37;20-09-2014 11:20;20-09-2014 11:41;;120;;4;49;Si;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1821509;5D0231 -  Medidores y/o Domicilios electrizados;Otros instalacion de cliente;Cerrado;20-09-2014 10:37;20-09-2014 11:02;20-09-2014 10:43;20-09-2014 10:57;20-09-2014 11:02;20-09-2014 11:02;20-09-2014 11:16;;45;;6;24;Si;Si;No
ELS s.a.;V5560;DOMICILIARIA EMERGENCIA;B1821510;5D0289 - Domicilio sin Corriente;Falla de material;Cerrado;20-09-2014 10:37;20-09-2014 11:06;20-09-2014 10:46;20-09-2014 10:47;20-09-2014 10:49;20-09-2014 11:06;20-09-2014 11:15;;120;;8;28;Si;Si;No
ELS s.a.;V5560;DOMICILIARIA EMERGENCIA;B1821511;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;20-09-2014 10:37;20-09-2014 11:20;20-09-2014 10:46;20-09-2014 10:48;20-09-2014 11:12;20-09-2014 11:20;20-09-2014 12:18;;120;;8;42;Si;Si;No
LEONOR SOTO LTDA.;V3607;SERVICIO DE EMERGENCIA RED;B1821512;3P1611 - Postes Chocados;Choque de vehiculo a poste;Cerrado;20-09-2014 10:47;20-09-2014 11:07;20-09-2014 10:50;20-09-2014 10:51;20-09-2014 10:51;20-09-2014 11:07;20-09-2014 12:15;;45;;3;19;Si;Si;No
CAM;V4034;DOMICILIARIA EMERGENCIA;B1821513;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 10:48;20-09-2014 11:40;20-09-2014 11:01;;20-09-2014 11:01;;20-09-2014 12:57;;120;;13;13;Si;Si;No
ELS;V3624;SERVICIO DE EMERGENCIA RED;B1821514;3S0389 - Sector sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 10:49;20-09-2014 11:29;20-09-2014 10:53;20-09-2014 10:54;20-09-2014 11:27;20-09-2014 11:29;20-09-2014 12:28;;120;;4;39;Si;Si;No
LEONOR SOTO LTDA.;V5561;DOMICILIARIA EMERGENCIA;B1821515;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 10:51;20-09-2014 11:11;20-09-2014 10:56;20-09-2014 10:56;20-09-2014 10:58;20-09-2014 11:11;20-09-2014 11:49;;120;;4;19;Si;Si;No
ELS SA;V5536;SERVICIO DE EMERGENCIA RED;B1821516;3S0389 - Sector sin Corriente;Corrosion;Cerrado;20-09-2014 10:57;20-09-2014 11:49;20-09-2014 11:01;20-09-2014 11:02;20-09-2014 11:43;20-09-2014 11:49;20-09-2014 12:08;;120;;3;51;Si;Si;No
LEONOR SOTO;V5533;SERVICIO DE EMERGENCIA RED;B1821517;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;20-09-2014 10:57;20-09-2014 11:25;20-09-2014 11:02;20-09-2014 11:02;20-09-2014 11:09;20-09-2014 11:25;20-09-2014 11:48;;100;;4;27;Si;Si;No
ELS SA;V5542;SERVICIO DE EMERGENCIA RED;B1821518;3L0226 - L¡nea o Acometida Destemplada;Cable de comunicaciones a baja altura;Cerrado;20-09-2014 11:08;20-09-2014 11:50;20-09-2014 11:12;20-09-2014 11:13;20-09-2014 11:15;20-09-2014 11:50;20-09-2014 12:10;;120;;4;41;Si;Si;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1821519; - ;Envejecimiento de materiales;Cerrado;20-09-2014 11:10;20-09-2014 11:29;20-09-2014 11:11;20-09-2014 11:13;20-09-2014 11:28;20-09-2014 11:29;20-09-2014 12:04;;;;1;18;No;Si;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1821520;5A0117 - Acometidas en Corto Circuito / medidor e;Envejecimiento de materiales;Cerrado;20-09-2014 11:14;20-09-2014 12:00;20-09-2014 11:23;20-09-2014 11:23;20-09-2014 12:04;;20-09-2014 13:49;;100;;9;9;Si;Si;No
ELS SA;V3656;SERVICIO DE EMERGENCIA RED;B1821521;5D0236 - Domicilio Exceso / Bajo Voltaje;Falla por contacto personal;Cerrado;20-09-2014 11:15;20-09-2014 11:33;20-09-2014 11:20;20-09-2014 11:20;20-09-2014 11:22;20-09-2014 11:33;20-09-2014 12:27;;120;;4;17;Si;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1821522; - ;Falta de mantenimiento;Cerrado;20-09-2014 11:18;20-09-2014 12:20;20-09-2014 11:18;20-09-2014 11:22;20-09-2014 12:19;20-09-2014 12:20;20-09-2014 12:30;;;;0;61;No;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1821523;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 11:16;20-09-2014 11:25;20-09-2014 11:20;20-09-2014 11:22;20-09-2014 11:22;20-09-2014 11:25;20-09-2014 11:40;;120;;4;9;Si;Si;No
LEONOR SOTO LTDA.;V3607;SERVICIO DE EMERGENCIA RED;B1821524;5D0249 - Domicilio  intermitente ;Envejecimiento de materiales;Cerrado;20-09-2014 11:22;20-09-2014 12:31;20-09-2014 11:23;20-09-2014 11:40;20-09-2014 11:52;20-09-2014 12:31;20-09-2014 13:20;;120;;0;68;Si;Si;No
E. E. Colina;C0001;SERVICIO DE EMERGENCIA RED;B1821525; - ;Falta de mantenimiento;Cerrado;20-09-2014 11:18;20-09-2014 11:55;20-09-2014 11:23;;;20-09-2014 12:31;20-09-2014 12:32;;;;5;36;No;Si;No
CAM;V4034;DOMICILIARIA EMERGENCIA;B1821526;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;20-09-2014 11:31;20-09-2014 12:00;20-09-2014 11:44;20-09-2014 11:44;;;20-09-2014 12:59;;100;;13;13;Si;Si;No
LEONOR SOTO LTDA.;V3618;DOMICILIARIA EMERGENCIA;B1821527;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;20-09-2014 11:30;20-09-2014 12:09;20-09-2014 11:33;20-09-2014 11:35;20-09-2014 11:35;20-09-2014 12:09;20-09-2014 12:11;;100;;3;38;Si;Si;No
CAM;V4608;DOMICILIARIA EMERGENCIA;B1821528; - ;Envejecimiento de materiales;Cerrado;20-09-2014 11:33;20-09-2014 11:39;20-09-2014 11:34;20-09-2014 11:35;20-09-2014 11:39;20-09-2014 11:39;20-09-2014 11:58;;;;1;6;No;Si;No
Empresa Azeta;V3621;DOMICILIARIA EMERGENCIA;B1821530;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;20-09-2014 11:37;20-09-2014 12:39;20-09-2014 12:24;20-09-2014 12:25;20-09-2014 12:25;20-09-2014 12:40;20-09-2014 12:53;;100;;46;61;Si;Si;No
ELS SA;V5536;SERVICIO DE EMERGENCIA RED;B1821531;3S0389 - Sector sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 11:46;20-09-2014 12:25;20-09-2014 11:49;20-09-2014 12:02;20-09-2014 12:10;20-09-2014 12:25;20-09-2014 13:12;;120;;3;38;Si;Si;No
;V3649;SERVICIO DE EMERGENCIA RED;B1821532;5A0117 - Acometidas en Corto Circuito / medidor e;Envejecimiento de materiales;Cerrado;20-09-2014 11:53;20-09-2014 12:30;20-09-2014 12:15;;;;20-09-2014 12:57;;100;;22;22;Si;Si;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1821533;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 11:59;20-09-2014 14:20;20-09-2014 12:08;20-09-2014 12:08;20-09-2014 13:42;20-09-2014 14:20;20-09-2014 14:37;;120;;9;141;No;No;No
LEONOR SOTO LTDA.;V3600;SERVICIO DE EMERGENCIA RED;B1821534;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 12:04;20-09-2014 12:57;20-09-2014 12:16;20-09-2014 12:17;20-09-2014 12:20;20-09-2014 12:57;20-09-2014 13:16;;120;;12;52;Si;Si;No
LEONOR SOTO LTDA.;V5565;DOMICILIARIA EMERGENCIA;B1821535;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 12:04;20-09-2014 12:28;20-09-2014 12:06;20-09-2014 12:07;20-09-2014 12:23;20-09-2014 12:28;20-09-2014 13:12;;120;;2;23;Si;Si;No
;V3649;SERVICIO DE EMERGENCIA RED;B1821536;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;20-09-2014 12:07;20-09-2014 13:10;20-09-2014 12:19;;;;20-09-2014 13:38;;100;;11;11;Si;Si;No
CAM;V4041;DOMICILIARIA EMERGENCIA;B1821537;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Envejecimiento de materiales;Cerrado;20-09-2014 12:10;20-09-2014 12:16;20-09-2014 12:13;20-09-2014 12:14;20-09-2014 12:14;20-09-2014 12:16;20-09-2014 13:37;;100;;3;6;Si;Si;No
ELS SA;V5536;SERVICIO DE EMERGENCIA RED;B1821538;3L0226 - L¡nea o Acometida Destemplada;Falta de mantenimiento;Cerrado;20-09-2014 12:10;20-09-2014 13:19;20-09-2014 12:45;20-09-2014 12:48;20-09-2014 12:55;20-09-2014 13:19;20-09-2014 13:35;;120;;34;68;Si;Si;No
ELS s.a.;V5560;DOMICILIARIA EMERGENCIA;B1821539;3S0389 - Sector sin Corriente;Envejecimiento de materiales;Cerrado;20-09-2014 12:12;20-09-2014 12:56;20-09-2014 12:18;20-09-2014 12:20;20-09-2014 12:21;20-09-2014 12:56;20-09-2014 13:41;;120;;6;43;Si;Si;No
CAM;V4654;SERVICIO DE EMERGENCIA RED;B1821540;5D0289 - Domicilio sin Corriente;Falla de artefacto electrico;Cerrado;20-09-2014 12:13;20-09-2014 12:34;20-09-2014 12:17;20-09-2014 12:24;20-09-2014 12:29;20-09-2014 12:34;20-09-2014 13:10;;120;;4;20;Si;Si;No
ELS;V5566;DOMICILIARIA EMERGENCIA;B1821541;5D0289 - Domicilio sin Corriente;Otros mantenimiento;Cerrado;20-09-2014 12:19;20-09-2014 13:00;20-09-2014 12:40;20-09-2014 12:44;20-09-2014 12:59;20-09-2014 13:00;20-09-2014 13:35;;120;;20;40;Si;Si;No
CAM;V4655;SERVICIO DE EMERGENCIA RED;B1821542;5D0289 - Domicilio sin Corriente;Falta de mantenimiento;Cerrado;20-09-2014 12:23;20-09-2014 13:11;20-09-2014 12:31;20-09-2014 12:49;20-09-2014 13:10;20-09-2014 13:11;20-09-2014 13:25;;120;;8;47;Si;Si;No
ELS s.a.;V5560;DOMICILIARIA EMERGENCIA;B1821543;5D0236 - Domicilio Exceso / Bajo Voltaje;Envejecimiento de materiales;Cerrado;20-09-2014 12:40;20-09-2014 13:53;20-09-2014 12:44;20-09-2014 12:44;20-09-2014 13:49;20-09-2014 13:53;20-09-2014 13:57;;120;;3;72;Si;Si;No
ELS;V3660;SERVICIO DE EMERGENCIA RED;B1821545;3P1631 - Postes y/o Red electrizada;Envejecimiento de materiales;Cerrado;20-09-2014 12:43;20-09-2014 13:31;20-09-2014 12:54;;;;20-09-2014 13:42;;45;;10;10;Si;Si;No
CAM;V4652;SERVICIO DE EMERGENCIA RED;B1821546;3L0267 - L¡nea  de  distribuci¢n (con  objetos  e;Envejecimiento de materiales;Cerrado;20-09-2014 12:44;20-09-2014 14:39;20-09-2014 13:50;20-09-2014 13:50;20-09-2014 14:26;20-09-2014 14:39;20-09-2014 15:36;;120;;66;115;Si;Si;No
ELS s.a.;V5560;DOMICILIARIA EMERGENCIA;B1821547; - ;Falla de material;Cerrado;20-09-2014 12:00;20-09-2014 13:06;20-09-2014 12:48;20-09-2014 12:48;20-09-2014 13:05;20-09-2014 13:06;20-09-2014 13:18;;;;48;66;No;Si;No
ELS;V5566;DOMICILIARIA EMERGENCIA;B1821548;5D0289 - Domicilio sin Corriente;Otros mantenimiento;Cerrado;20-09-2014 13:09;20-09-2014 13:47;20-09-2014 13:12;20-09-2014 13:33;20-09-2014 13:35;;20-09-2014 14:24;;120;;2;2;Si;Si;No
E.L. Soto S.A..;V5541;SERVICIO DE EMERGENCIA RED;B1821549; - ;;Anulado;20-09-2014 13:13;;20-09-2014 13:18;20-09-2014 13:36;;;20-09-2014 13:43;;;;4;; ; ; 
E.L. Soto S.A..;V5541;SERVICIO DE EMERGENCIA RED;B1821550;3S0389 - Sector sin Corriente;Volantines;Cerrado;20-09-2014 13:11;20-09-2014 13:30;20-09-2014 13:18;20-09-2014 13:36;20-09-2014 14:03;20-09-2014 14:03;20-09-2014 14:11;;120;;7;18;Si;Si;No
Empresa Azeta;V3621;DOMICILIARIA EMERGENCIA;B1821552;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 13:24;20-09-2014 13:50;20-09-2014 13:31;20-09-2014 13:36;20-09-2014 13:36;20-09-2014 13:53;20-09-2014 14:50;;120;;7;25;Si;Si;No
E. E. Colina;C0001;SERVICIO DE EMERGENCIA RED;B1821554; - ;Otros instalacion de cliente;Cerrado;20-09-2014 13:25;20-09-2014 13:50;20-09-2014 13:28;;;20-09-2014 14:32;20-09-2014 14:34;;;;3;24;No;Si;No
ELS SA;V3616;DOMICILIARIA EMERGENCIA;B1821555;5A0117 - Acometidas en Corto Circuito / medidor e;Falta de mantenimiento;Cerrado;20-09-2014 13:26;20-09-2014 14:30;20-09-2014 13:42;20-09-2014 13:44;20-09-2014 13:44;20-09-2014 14:30;20-09-2014 15:29;;100;;16;64;Si;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1821557;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 13:27;20-09-2014 13:35;20-09-2014 13:32;20-09-2014 13:34;20-09-2014 13:35;20-09-2014 13:35;20-09-2014 14:02;;120;;5;8;Si;Si;No
LEONOR SOTO;V5543;SERVICIO DE EMERGENCIA RED;B1821559;5D0289 - Domicilio sin Corriente;Envejecimiento de materiales;Cerrado;20-09-2014 13:29;20-09-2014 16:05;20-09-2014 14:39;;;;20-09-2014 16:35;;120;;69;69;Si;Si;No
ELS;V5566;DOMICILIARIA EMERGENCIA;B1821561;5D0289 - Domicilio sin Corriente;;Anulado;20-09-2014 13:36;;20-09-2014 14:25;20-09-2014 14:25;20-09-2014 14:35;;20-09-2014 14:49;;120;;48;; ; ; 
LEONOR SOTO LTDA.;V3618;DOMICILIARIA EMERGENCIA;B1821562;3L0217 - L¡neas de Distribuci¢n en Corto Circuito;Falta de mantenimiento;Cerrado;20-09-2014 13:34;20-09-2014 14:13;20-09-2014 13:37;20-09-2014 13:38;20-09-2014 13:41;20-09-2014 14:13;20-09-2014 14:23;;100;;3;38;Si;Si;No
ELS;V5566;DOMICILIARIA EMERGENCIA;B1821565;5D0289 - Domicilio sin Corriente;Otros mantenimiento;Cerrado;20-09-2014 13:38;20-09-2014 14:01;20-09-2014 13:42;20-09-2014 13:42;20-09-2014 14:01;20-09-2014 14:01;20-09-2014 14:23;;120;;4;22;Si;Si;No
LEONOR SOTO;V5543;SERVICIO DE EMERGENCIA RED;B1821566;3S0389 - Sector sin Corriente;Envejecimiento de materiales;Cerrado;20-09-2014 13:38;20-09-2014 15:05;20-09-2014 14:39;;;;20-09-2014 16:36;;120;;60;60;Si;Si;No
CAM;V4653;SERVICIO DE EMERGENCIA RED;B1821568;5D0289 - Domicilio sin Corriente;Otros instalacion de cliente;Cerrado;20-09-2014 13:47;20-09-2014 14:25;20-09-2014 13:49;20-09-2014 13:50;20-09-2014 14:07;20-09-2014 14:07;20-09-2014 14:49;;120;;2;20;Si;Si;No
ELS;V3624;SERVICIO DE EMERGENCIA RED;B1821569;5D0289 - Domicilio sin Corriente;;Cancelado;20-09-2014 13:47;;20-09-2014 14:05;20-09-2014 14:07;;;20-09-2014 14:09;;120;;18;; ; ; 
ELS SA;V3656;SERVICIO DE EMERGENCIA RED;B1821570;3L0226 - L¡nea o Acometida Destemplada;Mantenimiento preventivo;Cerrado;20-09-2014 13:51;20-09-2014 14:40;20-09-2014 13:57;20-09-2014 13:57;20-09-2014 14:00;;20-09-2014 14:10;;120;;6;6;Si;Si;No
CAM;V4608;DOMICILIARIA EMERGENCIA;B1821571;6C0905 - C mara o camarilla abierta;Mantenimiento preventivo;Cerrado;20-09-2014 13:51;20-09-2014 16:39;20-09-2014 14:58;20-09-2014 15:33;20-09-2014 16:37;20-09-2014 16:39;20-09-2014 17:07;;100;;67;168;No;No;No
